id;name;area_code;city_code;merger_name;short_name;zip_code;level;lng;lat
1;motivating Sleek interactive;Account Towels Baby;海南省 gold;Soft;Administrator niches;444041;TOWN;16371;55999
2;Dollar;Bedfordshire;invoice Tugrik Pre-emptive;turquoise;deposit Small Berkshire;899738;COUNTY;34027;53321
3;Sausages SSL multi-byte;turquoise open-source Hungary;Internal;Avon 上海市 one-to-one;protocol Paradigm;578803;COUNTY;6919;53625
4;澳门;Accounts 4th;Dynamic Licensed payment;multi-byte cross-media;Wooden 香港 New;683224;COUNTY;88679;71717
5;deposit Plastic;SDR tertiary 巷;Computer solutions;Avon;Chips infomediaries Automotive;403790;VILLAGE;77279;79405
6;Leu grid-enabled;云南省 栋;中心 Outdoors;Tuna;Kids Personal full-range;622801;PROVINCE;38466;39289
7;Avon 侬;workforce THX;24/7 Handmade experiences;Account attitude-oriented;1080p 西藏;793885;CITY;6924;9841
8;Chief;copying;redundant Facilitator;Executive SMTP;National withdrawal XML;701719;PROVINCE;59782;18412
9;JBOD Solomon card;applications proactive Integration;Customer;interactive;Shirt monitor;446754;PROVINCE;41520;49572
10;solution;Account;Computers Bacon up;invoice Cocos neural;青海省;160539;CITY;11943;74337
